_id,Institution,GoogleMaps
6930a7d8f59660bdbf649b58,Instituto Politécnico de Santarém - Escola Superior de Gestão e Tecnologia de Santarém,http://maps.google.pt/maps?z=20&t=k&q=loc:39.22521+-8.690559
6930a7d8f59660bdbf649b59,Instituto Politécnico de Viana do Castelo - Escola Superior de Ciências Empresariais,http://maps.google.pt/maps?z=20&t=k&q=loc:42.02595+-8.641592
6930a7d8f59660bdbf649b5a,Universidade do Porto - Faculdade de Direito,http://maps.google.pt/maps?z=20&t=k&q=loc:41.15236+-8.616284
6930a7d8f59660bdbf649b5b,Instituto Politécnico de Lisboa - Escola Superior de Dança,http://maps.google.pt/maps?z=20&t=k&q=loc:38.75568+-9.113923
6930a7d8f59660bdbf649b5c,ISCTE - Instituto Universitário de Lisboa (Sintra),http://maps.google.pt/maps?z=20&t=k&q=loc:38.80215+-9.382696
6930a7d8f59660bdbf649b5d,Instituto Politécnico de Viana do Castelo - Escola Superior de Tecnologia e Gestão,http://maps.google.pt/maps?z=20&t=k&q=loc:41.69424+-8.846658
6930a7d8f59660bdbf649b5e,Instituto Politécnico do Cávado e do Ave - Escola Superior de Design,http://maps.google.pt/maps?z=20&t=k&q=loc:41.53448+-8.628122
6930a7d8f59660bdbf649b5f,Instituto Politécnico de Castelo Branco - Escola Superior de Artes Aplicadas,http://maps.google.pt/maps?z=20&t=k&q=loc:38.81918+-7.455066
6930a7d8f59660bdbf649b60,"Instituto Politécnico de Bragança - Escola Superior de Comunicação, Administração e Turismo de Mirandela",http://maps.google.pt/maps?z=20&t=k&q=loc:41.47761+-7.178407
6930a7d8f59660bdbf649b61,"Instituto Politécnico do Cávado e do Ave - Escola Superior de Desporto, Bem-Estar e Sistemas Biomédicos",http://maps.google.pt/maps?z=20&t=k&q=loc:41.43946+-8.294934
6930a7d8f59660bdbf649b62,Escola Superior de Educação de Fafe,http://maps.google.pt/maps?z=20&t=k&q=loc:41.46357+-8.153696
6930a7d8f59660bdbf649b63,Instituto Politécnico Jean Piaget do Norte - Escola Superior de Desporto e Educação Jean Piaget de Vila Nova de Gaia,http://maps.google.pt/maps?z=20&t=k&q=loc:41.07755+-8.635221
6930a7d8f59660bdbf649b64,Instituto Politécnico de Castelo Branco - Escola Superior de Educação de Castelo Branco,http://maps.google.pt/maps?z=20&t=k&q=loc:39.8191+-7.495828
6930a7d8f59660bdbf649b65,Instituto Politécnico de Leiria - Escola Superior de Saúde,http://maps.google.pt/maps?z=20&t=k&q=loc:39.73278+-8.820556
6930a7d8f59660bdbf649b66,Instituto Politécnico Jean Piaget do Norte - Escola Superior de Saúde Jean Piaget de Vila Nova de Gaia,http://maps.google.pt/maps?z=20&t=k&q=loc:41.07755+-8.635221
6930a7d8f59660bdbf649b67,Instituto Politécnico Jean Piaget do Sul - Escola Superior de Saúde Jean Piaget de Almada,http://maps.google.pt/maps?z=20&t=k&q=loc:38.6664+-9.1769
6930a7d8f59660bdbf649b68,ISAVE - Instituto Superior de Saúde,http://maps.google.pt/maps?z=20&t=k&q=loc:41.63487+-8.350614
6930a7d8f59660bdbf649b69,Escola Superior de Hotelaria e Turismo do Estoril,http://maps.google.pt/maps?z=20&t=k&q=loc:38.71722+-9.391944
6930a7d8f59660bdbf649b6a,Instituto Politécnico de Bragança - Escola Superior de Hotelaria e Bem-Estar,http://maps.google.pt/maps?z=20&t=k&q=loc:41.74203+-7.470944
6930a7d8f59660bdbf649b6b,Universidade da Madeira - Escola Superior de Tecnologias e Gestão,http://maps.google.pt/maps?z=20&t=k&q=loc:32.65945+-16.92655
6930a7d8f59660bdbf649b6c,Universidade de Lisboa - Faculdade de Direito,http://maps.google.pt/maps?z=20&t=k&q=loc:38.75244+-9.157061
6930a7d8f59660bdbf649b6d,Universidade Nova de Lisboa - Faculdade de Direito,http://maps.google.pt/maps?z=20&t=k&q=loc:38.73254+-9.160769
6930a7d8f59660bdbf649b6e,Universidade Católica Portuguesa - Faculdade de Direito,NaN
