master,university,Location,Duration,Tuition Fee,about
Actuarial Science,University of Lisbon,"Lisbon, Portugal",2 years,3500 EUR / year,"University of Lisbon's Masters in Actuarial Science offers students the chance to get a solid academic foundation in up-to-date actuarial knowledge, statistics and finance, providing them with the skills and background required to become successful actuaries."
Interior Design,Cascais School of Art and Design,"Cascais, Portugal",1 year,7150 EUR / year,The Interior Design course at Cascais School of Art and Design is methodically designed for interior designers looking to advance their practical skills and industry knowledge to an expert level. 
LLM in International Organizations,EPLO/ European Law and Governance School (ELGS),"Cascais, Portugal",1 year,5600 EUR / year,"This one-year ELGS degree program offers a comprehensive understanding of the legal frameworks, principles, and practices governing International Organizations.Developed by the European Public Law Organization, an international organization, this program aims to share the knowledge and expertise accumulated over nearly 20 years of its involvement in the fields of international law and diplomacy."
Food Technology,University of Algarve,"Faro, Portugal",2 years,1100 EUR / year,"The Food Technology programme from University of Algarve aims to provide a general understanding of food properties and production, and knowledge in technologies involved in the production of safe and healthy food that qualifies the recipient not only to analyse and control, but also to design, innovate and develop food production systems and food products."
Sustainable Urban Mobility Transitions,EIT Urban Mobility Master School,Multiple locations,2 years,4000 EUR / year,This Sustainable Urban Mobility Transitions programme from the EIT Urban Mobility Master School prepares you to address evolving urban challenges and lead innovations in sustainable urban mobility. It empowers students to become future urban leaders by embracing complexity and competence beyond the traditional urban planning and civil engineering disciplines.
Postgraduate Program in Artificial Intelligence for Business Transformation,NOVA IMS,"Lisbon, Portugal",9 months,4100 EUR / year,"The Artificial Intelligence for Business Transformation program from Universidade Nova de Lisaboa trains managers and professionals to lead digital transformation by mastering artificial intelligence, machine learning, big data & analytics, IoT and other disruptive technologies ."
Postgraduate Program in Enterprise Data Science and Analytics,NOVA IMS,"Lisbon, Portugal",9 months,5100 EUR / year,"The Enterprise Data Science and Analytics program from Universidade Nova de Lisboa present methodologies and tools that enable companies to transform data into information on which they can base strategic information regarding their entry into new markets, new product or service lines, process optimization, business model transformation, and competitiveness in a data-driven decision-making market."
Smart Mobility Data Science and Analytics,EIT Urban Mobility Master School,Multiple locations,2 years,4000 EUR / year,"This Smart Mobility Data Science and Analytics programme from EIT Urban Mobility Master School trains future elite data scientist in urban mobility. Through an interdisciplinary approach, you will learn to leverage urban data for strategic city planning, sustainable resource use, environmental cleanliness, equitable citizen engagement, and fostering a healthy society."
Master in Business Economics with Double Degree,Católica Porto Business School (CPBS),"Porto, Portugal",2 years,6570 EUR / year,"The Master in Business Economics with Double Degree from Católica Porto Business School (CPBS) is an international programme offered in English. It is suitable for bachelors in economics, management and engineering with the ambition of becoming top professionals of organisations."
International Development and Public Policy,Nova School of Business and Economics,"Carcavelos, Portugal",1½ year,8099 EUR / year,"Decision-making is constantly a challenging process with a growing number of variables and expectations to be met in several fields, all directly impacting society. In this International Development and Public Policy programme at Nova School of Business and Economics, you will acquire the tools to prompt personal and organizational development both for public and non-governmental companies."
Data Analytics for Business,ISEG - Lisbon School of Economics and Management,"Lisbon, Portugal",1½ year,4566 EUR / year,"This Data Analytics for Business MSc programme offered by ISEG - Lisbon School of Economics and Management is particularly relevant for quantitative methods enthusiasts since its main topics of interest are Data Science, Business Analytics and Information Systems."
Law and Management,Universidade Nova de Lisboa - NOVA School of Law,"Lisbon, Portugal",1½ year,4133 EUR / year,The Master’s in Law and Management from Universidade Nova de Lisboa is a creation of a partnership bringing together Nova School of Business and Economics (Nova SBE) and NOVA School of Law (NOVA Law). 
