master,university,Location,Duration,Tuition Fee,about
Mathematical Engineering (RealMaths Double MSc - Mathematics for Real-World Applications),University of L´Aquila,Multiple locations,2 years,4500 EUR / year,"RealMaths – Mathematics for Real World Applications is a 2-year Double MSc with a focus on scientific computing and applications. Students spend Year1 at the University of L’Aquila and Year2 in one partner institution.Our specialisations include modern applications in material science or socio-economical sciences, as well as innovative methodologies in high-performance computing and data analysis."
Industrial and Firm Economics,University of Minho,"Braga, Portugal",1½ year,1250 EUR / year,"The Industrial and Firm Economics at University of Minho aims to attract students with a strong background in Economics, Management and related scientific areas, who are looking to become specialists in the area of industrial and firms economics and develop knowledge and skills in the analysis of markets and understanding the determinats of business performance."
Management of Services and Technology,ISCTE - University Institute of Lisbon,"Lisbon, Portugal",2 years,5250 EUR / year,The Master in Management of Services and Technology (MMST) at ISCTE - University Institute of Lisbon  is a unique advanced educational programme in Technology and Operations Management (TOM) that focuses on both industry and service domains. 
Bioengineering,University of Porto,"Porto, Portugal",2 years,1500 EUR / year,"Jointly offered by FEUP and ICBAS, the Master's Degree course in Bioengineering from University of Porto provides specialised training that takes a multidisciplinary approach to solving complex biomedicine and industrial biotechnology problems, covering engineering of devices, processes and molecular engineering. "
Marine Biology,University of Algarve,"Faro, Portugal",2 years,1100 EUR / year,"The Master's course in Marine Biology presents unique conditions at the University of Algarve, as it has a fixed teaching staff with a doctorate in full time with international training in the areas of Biological Sciences and in the area of Marine Sciences."
Chemical Engineering,University of Porto,"Porto, Portugal",2 years,1500 EUR / year,"Aimed at candidates with a background in Chemical Engineering and related fields, the Master's Degree in Chemical Engineering offered by Faculty of Engineering, University of Porto prepares students for a professional career in practical or research areas of Chemical Engineering and related fields. "
Education and Community Development,University of Madeira,"Funchal, Portugal",2 years,2000 EUR / year,"The study cycle aimed at obtaining a master's degree in Education and Community Development from University of Madeira comprises 4 semesters (2 academic years), with the degree being awarded to those who obtain 120 ECTS."
Medicinal and Biopharmaceutical Chemistry,University of Lisbon,"Lisbon, Portugal",2 years,1200 EUR / year,"The Master in Medicinal and Biopharmaceutical Chemistry (MQMB) from University of Lisbon provides advanced training for employment in the Pharmaceutical Industry, namely in areas related to drug development."
Management,University of Lisbon,"Lisbon, Portugal",1½ year,5800 EUR / year,"University of Lisbon introduced the new Master in Management in 2020, an innovative way for forward-thinking students and professionals to get a unique and full range experience in business management."
Aerospace Engineering,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1500 EUR / year,"The Master in Aerospace Engineering from Universidade Nova de Lisboa encourages critical thinking about the role of Aerospace Engineering in a more sustainable and intelligent future, while expanding the possibilities of space exploration. "
