Institution;GoogleMaps;;
Escola Superior de Educação de Fafe;http://maps.google.pt/maps?z=20&t=k&q=loc:41.46357+-8.153696;;
Instituto Politécnico Jean Piaget do Norte - Escola Superior de Desporto e Educação Jean Piaget de Vila Nova de Gaia;http://maps.google.pt/maps?z=20&t=k&q=loc:41.07755+-8.635221;;
Instituto Politécnico de Castelo Branco - Escola Superior de Educação de Castelo Branco;http://maps.google.pt/maps?z=20&t=k&q=loc:39.8191+-7.495828;;
 Condição Física e Bem-Estar;detcursopi.asp?codc=L174&code=4581;;
 Condição Física e Saúde;detcursopi.asp?codc=L034&code=3091;;
 Condição Física e Saúde;detcursopi.asp?codc=L034&code=3145;;
Instituto Politécnico de Leiria - Escola Superior de Saúde;http://maps.google.pt/maps?z=20&t=k&q=loc:39.73278+-8.820556;;
Instituto Politécnico Jean Piaget do Norte - Escola Superior de Saúde Jean Piaget de Vila Nova de Gaia;http://maps.google.pt/maps?z=20&t=k&q=loc:41.07755+-8.635221;;
Instituto Politécnico Jean Piaget do Sul - Escola Superior de Saúde Jean Piaget de Almada;http://maps.google.pt/maps?z=20&t=k&q=loc:38.6664+-9.1769;;
ISAVE - Instituto Superior de Saúde;http://maps.google.pt/maps?z=20&t=k&q=loc:41.63487+-8.350614;;
Escola Superior de Hotelaria e Turismo do Estoril;http://maps.google.pt/maps?z=20&t=k&q=loc:38.71722+-9.391944;;
Instituto Politécnico de Bragança - Escola Superior de Hotelaria e Bem-Estar;http://maps.google.pt/maps?z=20&t=k&q=loc:41.74203+-7.470944;;
Universidade da Madeira - Escola Superior de Tecnologias e Gestão;http://maps.google.pt/maps?z=20&t=k&q=loc:32.65945+-16.92655;;
Universidade de Lisboa - Faculdade de Direito;http://maps.google.pt/maps?z=20&t=k&q=loc:38.75244+-9.157061;;
Universidade Nova de Lisboa - Faculdade de Direito;http://maps.google.pt/maps?z=20&t=k&q=loc:38.73254+-9.160769;;
Universidade Católica Portuguesa - Faculdade de Direito;;;
Universidade Católica Portuguesa - Faculdade de Direito (Porto);http://maps.google.pt/maps?z=20&t=k&q=loc:41.15398+-8.673013;;
Universidade dos Açores - Faculdade de Economia e Gestão;http://maps.google.pt/maps?z=20&t=k&q=loc:37.74605+-25.66378;;
Universidade do Algarve - Faculdade de Economia;http://maps.google.pt/maps?z=20&t=k&q=loc:37.04408+-7.972222;;
Universidade de Coimbra - Faculdade de Economia;http://maps.google.pt/maps?z=20&t=k&q=loc:40.2147+-8.408988;;
Universidade de Lisboa - Instituto Superior de Economia e Gestão;http://maps.google.pt/maps?z=20&t=k&q=loc:38.70972+-9.155651;;
Universidade Nova de Lisboa - Faculdade de Economia;http://maps.google.pt/maps?z=20&t=k&q=loc:38.6793+-9.325741;;
Universidade do Porto - Faculdade de Economia;http://maps.google.pt/maps?z=20&t=k&q=loc:41.17595+-8.598582;;
Universidade Católica Portuguesa - Faculdade de Economia e Gestão;http://maps.google.pt/maps?z=20&t=k&q=loc:41.15398+-8.673013;;
Instituto Politécnico de Santarém - Escola Superior de Educação de Santarém;http://maps.google.pt/maps?z=20&t=k&q=loc:39.22225+-8.688641;;
Instituto Politécnico de Portalegre - Escola Superior de Educação e Ciências Sociais;http://maps.google.pt/maps?z=20&t=k&q=loc:39.28958+-7.429967;;
Escola Superior de Educação de João de Deus;http://maps.google.pt/maps?z=20&t=k&q=loc:38.71589+-9.158396;;
Escola Superior de Educação de Paula Frassinetti;http://maps.google.pt/maps?z=20&t=k&q=loc:41.16028+-8.6025;;
Instituto Politécnico Jean Piaget do Sul - Escola Superior de Educação Jean Piaget de Almada;http://maps.google.pt/maps?z=20&t=k&q=loc:39.61613+-9.17839;;
Instituto Politécnico da Lusofonia - Escola Superior de Educação da Lusofonia;http://maps.google.pt/maps?z=20&t=k&q=loc:38.74674+-9.100184;;
Instituto Superior de Estudos Interculturais e Transdisciplinares de Almada;http://maps.google.pt/maps?z=20&t=k&q=loc:38.6664+-9.1769;;
Universidade de Lisboa - Instituto de Educação;http://maps.google.pt/maps?z=20&t=k&q=loc:38.75282+-9.155494;;
Instituto Politécnico da Maia - Escola Superior de Ciências Sociais, Educação e Desporto;http://maps.google.pt/maps?z=20&t=k&q=loc:41.26783+-8.6172;;
Instituto Superior de Ciências da Informação e da Administração;http://maps.google.pt/maps?z=20&t=k&q=loc:40.63694+-8.6325;;
Universidade de Aveiro - Escola Superior de Tecnologia e Gestão de Águeda;http://maps.google.pt/maps?z=20&t=k&q=loc:40.57429+-8.444219;;
Escola Superior de Enfermagem de Lisboa;http://maps.google.pt/maps?z=20&t=k&q=loc:38.75698+-9.14607;;
Instituto Politécnico de Beja - Escola Superior de Saúde;http://maps.google.pt/maps?z=20&t=k&q=loc:38.01457+-7.875266;;
Instituto Politécnico de Portalegre - Escola Superior de Saúde;http://maps.google.pt/maps?z=20&t=k&q=loc:39.30038+-7.425994;;
Instituto Politécnico de Santarém - Escola Superior de Saúde de Santarém;http://maps.google.pt/maps?z=20&t=k&q=loc:39.24598+-8.701129;;
Instituto Politécnico de Setúbal - Escola Superior de Saúde;http://maps.google.pt/maps?z=20&t=k&q=loc:38.52306+-8.841667;;
Instituto Politécnico de Viana do Castelo - Escola Superior de Saúde;http://maps.google.pt/maps?z=20&t=k&q=loc:41.69738+-8.834974;;
Instituto Politécnico de Viseu - Escola Superior de Saúde de Viseu;http://maps.google.pt/maps?z=20&t=k&q=loc:40.65262+-7.905071;;
