Course,Institution,Link,GoogleMaps
Bioquímica,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente,detcursopi.asp?codc=9015&code=1204,http://maps.google.pt/maps?z=20&t=k&q=loc:41.28739+-7.738986
Biorrecursos,Instituto Politécnico do Porto - Instituto Superior de Engenharia do Porto,detcursopi.asp?codc=L089&code=3135,http://maps.google.pt/maps?z=20&t=k&q=loc:41.17834+-8.606863
Biotecnologia,Universidade do Algarve - Faculdade de Ciências e Tecnologia,detcursopi.asp?codc=9016&code=0203,http://maps.google.pt/maps?z=20&t=k&q=loc:37.04408+-7.972222
Biotecnologia,Universidade de Aveiro,detcursopi.asp?codc=9016&code=0300,http://maps.google.pt/maps?z=20&t=k&q=loc:40.63118+-8.657394
Biotecnologia,Universidade da Beira Interior,detcursopi.asp?codc=9016&code=0400,http://maps.google.pt/maps?z=20&t=k&q=loc:40.27736+-7.508574
Biotecnologia,Universidade de Évora - Escola de Ciências e Tecnologia,detcursopi.asp?codc=9016&code=0602,http://maps.google.pt/maps?z=20&t=k&q=loc:38.56832+-7.910306
Biotecnologia,Instituto Politécnico de Coimbra - Escola Superior Agrária de Coimbra,detcursopi.asp?codc=9016&code=3061,http://maps.google.pt/maps?z=20&t=k&q=loc:40.21421+-8.450982
Biotecnologia,Instituto Politécnico de Leiria - Escola Superior de Turismo e Tecnologia do Mar,detcursopi.asp?codc=9016&code=3105,http://maps.google.pt/maps?z=20&t=k&q=loc:39.36472+-9.403056
Biotecnologia,Instituto Politécnico de Setúbal - Escola Superior de Tecnologia do Barreiro,detcursopi.asp?codc=9016&code=3154,http://maps.google.pt/maps?z=20&t=k&q=loc:38.65239+-9.04896
Biotecnologia,Instituto Politécnico de Viana do Castelo - Escola Superior Agrária,detcursopi.asp?codc=9016&code=3161,http://maps.google.pt/maps?z=20&t=k&q=loc:41.79271+-8.54231
Biotecnologia,Instituto Politécnico de Viseu - Escola Superior Agrária de Viseu,detcursopi.asp?codc=9016&code=3185,http://maps.google.pt/maps?z=20&t=k&q=loc:40.64135+-7.910146
Biotecnologia Alimentar,Instituto Politécnico de Castelo Branco - Escola Superior Agrária de Castelo Branco,detcursopi.asp?codc=L093&code=3051,http://maps.google.pt/maps?z=20&t=k&q=loc:39.82086+-7.46249
Biotecnologia Medicinal,Instituto Politécnico da Guarda - Escola Superior de Saúde da Guarda,detcursopi.asp?codc=L101&code=7040,http://maps.google.pt/maps?z=20&t=k&q=loc:40.52968+-7.276771
Biotecnologia Medicinal,Instituto Politécnico do Porto - Escola Superior de Saúde,detcursopi.asp?codc=L101&code=7230,http://maps.google.pt/maps?z=20&t=k&q=loc:41.17779+-8.60693
